coral,tank,treat,pco2,temp,T0_T90,reef,species,fpco2,ftemp,colony,SA,den,pro,chla,sum_bw5,red_bw1,green_bw1,blue_bw1,sum_bw1,red_bw2,green_bw2,blue_bw2,sum_bw2,red_bw3,green_bw3,blue_bw3,sum_bw3,red_bw4,green_bw4,blue_bw4,sum_bw4,red_bw5,green_bw5,blue_bw5,rate,carb,lipid
CFSD5,700_31_2,701_31,701,31,T90,F,S,700,31,SD_F,12.59,2265441.741,0.367,20.48424,136.5,136.4,84.9,23.2,244.5,89.3,50.8,22.7,162.8,68.4,41.3,19.5,129.2,91.7,52.5,23.5,167.7,72.9,41.9,21.7,1.519,0.704343001,0.131656525
CFSD6,700_28_2,673_28,673,28,T90,F,S,700,28,SD_F,9.677,3504581.467,0.537,135.55328,107.1,160.8,101,36.9,298.7,92.9,48.4,19.4,160.7,95.9,52.2,24.7,172.8,87.4,52.9,28.5,168.8,57,32,18.1,2.086,1.089396664,0.442370181
CFSD7,2800_31_2,3309_31,3309,31,T90,F,S,2800,31,SD_F,11.137,2031487.579,0.464,45.94432,135.7,177.7,119.9,57.9,355.5,96.7,52.2,22.6,171.5,112.8,71.3,33.8,217.9,84.2,52.5,28.4,165.1,79.5,41.9,14.3,1.413,0.83879909,0.255688463
CFSD8,2800_28_2,3285_28,3285,28,T90,F,S,2800,28,SD_F,8.568,1647122.904,0.479,43.84,158.3,158.4,97.6,37.4,293.4,111.7,65.1,31.3,208.1,101.3,57,27.8,186.1,89.5,54,28.3,171.8,86.4,53.2,18.7,0.822,0.787667422,1.228049398
CFSD9,400_28_2,447_28,447,28,T90,F,S,400,28,SD_F,11.455,3777323.517,0.507,177.1136,122.8,NA,NA,NA,NA,92.6,49.7,17.4,159.7,97.9,57.4,26.6,181.9,64,37.5,20.2,121.7,63.9,35.8,23.1,2.397,0.611991971,0.280146555
CFSE1,280_31_3,311_31,311,31,T90,F,S,280,31,SE_F,8.451,812842.6616,0.335,60.84992,187.7,112.9,59.7,9.5,182.1,116.7,68.5,33.5,218.7,111.4,64.6,27.4,203.4,98.1,55.3,24,177.4,105.3,57.7,24.7,0.794,NA,0.634875654
CFSE11,400_28_3,447_28,447,28,T90,F,S,400,28,SE_F,1.88,1685106.383,0.133,39.28064,211.1,NA,NA,NA,NA,75,37.6,13.9,126.5,106.7,62,21.2,189.9,79.4,40.8,18.5,138.7,110.7,63.5,36.9,1.136,1.723776178,1.195920811
CFSE3,400_31_3,405_31,405,31,T90,F,S,400,31,SE_F,9.104,2696836.555,0.368,53.4848,126.8,161.6,101.8,42,305.4,150.4,95.5,60.7,306.6,138.3,80.3,36.5,255.1,60.4,28.9,11.1,100.4,73.5,35.8,17.5,0.046,0.290899865,0.309552966
CFSE5,700_31_3,701_31,701,31,T90,F,S,700,31,SE_F,9.119,195423.3075,0.252,34.01984,409.6,162.3,106.3,37.3,305.9,108,59.3,22.5,189.8,132.4,80.2,36.5,249.1,170.7,113,82.7,366.4,188.8,123.3,97.5,-0.148,1.091165697,0.207869605
CFSE6,700_28_3,673_28,673,28,T90,F,S,700,28,SE_F,8.178,1125259.854,0.554,39.28064,214.5,145.9,92.9,38.8,277.6,152,99.8,61.7,313.5,130.3,79.2,32.3,241.8,101.8,59.8,32.5,194.1,113.1,68.3,33.1,1.022,1.43957891,0.551723309
CFSE7,2800_31_3,3309_31,3309,31,T90,F,S,2800,31,SE_F,8.936,43979.40913,0.256,12.205056,358.6,160.2,105.2,48.1,313.5,154.3,100.3,70.4,325,173,108.2,72.6,353.8,176.1,116.7,109.2,402,162.4,86.7,109.5,-0.337,0.986355952,0.260763662
CFSE8,2800_28_3,3285_28,3285,28,T90,F,S,2800,28,SE_F,6.848,520663.9731,0.189,5.006528,274.7,120.7,66.7,20.4,207.8,95.2,52.9,24,172.1,125.8,77.9,35.9,239.6,115.8,74.4,48.2,238.4,128.5,86.2,60,-0.418,0.70649591,0.22765247
CFSE9,400_28,447_28,447,28,T0,F,S,T0,T0,SE_F,9.466666667,1325070.423,0.335,25.25184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.764934434,0.016828354
CFSF11,400_28_3,447_28,447,28,T90,F,S,400,28,SF_F,10.117,4953083.817,0.752,173.6064,126.8,NA,NA,NA,NA,90.2,41.6,12.6,144.4,100.5,55.8,20.8,177.1,50.4,27.1,18.5,96,70.6,36.8,19.4,1.924,1.291746264,0.363136683
CFSF16,2800_28_3,3285_28,3285,28,T90,F,S,2800,28,SF_F,11.373,1759078.519,0.304,31.74016,209.2,147.2,85.8,43.1,276.1,122.2,68.9,31.4,222.5,94.7,51.4,25.9,172,83,48.5,26.6,158.1,109.6,63.1,36.5,0.74,1.001629573,0.144050305
CFSF2,280_28_3,288_28,288,28,T90,F,S,280,28,SF_F,10.837,5573818.898,0.531,120.29696,100.3,107.9,50.1,9.2,167.2,95.9,47.7,19.1,162.7,65.5,33.2,13.7,112.4,42.1,24.1,18.5,84.7,49,30,21.3,1.999,1.10598236,0.272736172
CFSF3,400_31_3,405_31,405,31,T90,F,S,400,31,SF_F,7.627,6266433.566,1.178,192.896,132.4,123.8,70.1,27.1,221,135.9,76,44,255.9,122.5,66.3,34.2,223,45.4,25.3,16.3,87,68.2,38.9,25.3,1.556,2.507100293,1.340891815
CFSF5,700_31_3,701_31,701,31,T90,F,S,700,31,SF_F,9.508,2923993.83,0.492,119.94624,140.6,118.4,58.4,13.9,190.7,78.5,39.8,17.4,135.7,75.5,39.5,18.3,133.3,61.6,35.8,23.8,121.2,73.2,41.8,25.6,0.986,1.134059784,0.447288291
CFSF6,700_28_3,673_28,673,28,T90,F,S,700,28,SF_F,10.336,5122972.232,0.135,147.47776,135.8,121.3,62.9,20.3,204.5,128.2,69.4,27.6,225.2,118.2,68.6,31.6,218.4,60.4,33,18.8,112.2,69.8,40.6,25.4,1.526,0.540083469,1.107838182
CFSF7,2800_31_3,3309_31,3309,31,T90,F,S,2800,31,SF_F,11.597,1542380.432,0.589,49.62688,117.9,155.9,94.6,48.6,299.1,144.8,85.9,49.6,280.3,117.6,68.8,41.2,227.6,106.9,63.5,40.9,211.3,69.1,34.9,13.9,0.902,0.383356681,0.521294708
CFTA11,400_28,447_28,447,28,T0,F,T,T0,T0,TA_F,11.28675,1687926.108,0.399,10.416384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.228451124,0.034654321
CFTA2,280_28_1,288_28,288,28,T90,F,T,280,28,TA_F,32.06,1077854.024,0.12,109.42464,244.9,86.4,48.5,7.7,142.6,94.9,60.45,25.35,180.7,147,95.1,39.7,281.8,138.05,85.8,42.45,266.3,128.95,82.4,33.55,0.112,0.268257047,0.077432767
CFTA6,700_28_1,673_28,673,28,T90,F,T,700,28,TA_F,17.827,313451.2546,0.021,33.49376,456.3,143.4,96.5,29.1,269,113.25,69.65,28.7,211.6,162.55,110.8,53,326.35,107.85,66.25,33.25,207.35,194,169.8,92.5,-0.043,0.134426011,0.104229276
CFTA8,2800_28_1,3285_28,3285,28,T90,F,T,2800,28,TA_F,18.647,1498552.072,0.08,39.98208,184,118.9,77.3,23.5,219.7,93.15,55.45,23.25,171.85,105.9,64.1,30.1,200.1,92.15,59.45,29.5,181.1,93.3,63.2,27.5,-0.259,0.292448871,0.083297082
CFTB10,400_28,447_28,447,28,T0,F,T,T0,T0,TB_F,14.39275,217887.4781,0.289,134.50112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.937334525,0.076700524
CFTB2,280_28_1,288_28,288,28,T90,F,T,280,28,TB_F,23.661,757364.4394,0.077,56.992,227.5,78.1,44.5,14.4,137,129.05,77.6,31.55,238.2,157.65,96.05,45,298.7,141.75,80.6,36,258.35,125.85,69.5,32.15,0.074,0.201948781,0.069175642
CFTC8,400_28,447_28,447,28,T0,F,T,T0,T0,TC_F,11.2615,1261821.249,0.196,24.37504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.522391459,0.031115163
CFTD1,400_28_2,447_28,447,28,T90,F,T,400,28,TD_F,20.389,526419.0426,0.065,43.66464,296.9,NA,NA,NA,NA,108.6,62.15,24.9,195.65,139.6,83.65,32.8,256.05,116.2,69.9,32.05,218.15,150.3,101.95,44.65,0.107,0.187972705,0.030044281
CFTD12,400_28,447_28,447,28,T0,F,T,T0,T0,TD_F,5.153333333,315135.8344,0.105,17.18528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354890563,0.143082197
CFTD2,280_28_2,288_28,288,28,T90,F,T,280,28,TD_F,41.524,33041.39808,0.026,62.07744,212,120.4,81.4,35.6,237.4,110.85,65.55,36,212.4,136,86.5,43.95,266.45,95.75,57.7,25.4,178.85,104.1,71.2,36.7,0.037,0.077265022,0.034397534
CFTF15,400_28,447_28,447,28,T0,F,T,T0,T0,TF_F,21.89933333,530427.1058,0.237,83.47136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64817277,0.017701023
CFTF2,400_28_3,447_28,447,28,T90,F,T,400,28,TF_F,21.864,758129.6785,0.101,78.21056,227.85,NA,NA,NA,NA,103.7,56.15,16.9,176.75,114.95,65.5,37.65,218.1,89.35,51,25.85,166.2,112.8,74.9,40.15,0.145,0.252226425,0.093072976
CNAA13,400_28,447_28,447,28,T0,N,A,T0,T0,AA_N,7.16,1942981.844,0.358,10.82848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.360746142,0.056703653
CNAA14,700_28_1,673_28,673,28,T90,N,A,700,28,AA_N,12.178,9913820.003,0.216,40.3328,376,164.9,124.6,9.8,299.3,103.8,71.8,12.7,188.3,119.3,79.1,17.1,215.5,148.9,109.9,32.2,291,181,151.7,43.3,-0.43,0.901083747,0.166728627
CNAA2,280_28_1,288_28,288,28,T90,N,A,280,28,AA_N,12.034,2289236.053,0.227,116.96512,153.8,124.9,88.4,0.4,213.7,150.1,118,29,297.1,116.3,71.8,13.6,201.7,60.5,34,16.5,111,82.7,52,19.1,0.404,0.735641894,0.137564829
CNAA3,400_31_1,405_31,405,31,T90,N,A,400,31,AA_N,10.905,2219783.579,0.182,35.072,338.1,NA,NA,NA,NA,84.5,52.3,7.9,144.7,110.8,72.2,10.8,193.8,82.9,47.4,6.6,136.9,168.7,132.6,36.8,-0.063,1.149691384,0.454603859
CNAA5,700_31_1,701_31,701,31,T90,N,A,700,31,AA_N,10.874,7417369.179,0.192,42.43712,520.2,118.3,83.6,0.9,202.8,85.8,55.3,16.6,157.7,109.3,71.1,9,189.4,166.9,135,48.1,350,222.6,202.5,95.1,0.04,0.697498693,0.14703595
CNAA6,400_28_1,447_28,447,28,T90,N,A,400,28,AA_N,8.667,1853159.494,0.215,37.35168,305.9,NA,NA,NA,NA,126.2,85.3,18.5,230,109.7,72,13.5,195.2,115.8,81,14.2,211,152,116.9,37,-0.215,1.225392852,0.209017022
CNAA7,2800_31_1,3309_31,3309,31,T90,N,A,2800,31,AA_N,11.976,1739527.375,0.011,5.979776,288.6,183.5,145.8,21.9,351.2,143.1,111.7,28.7,283.5,197.6,177.9,91.7,467.2,212.5,204.5,113.7,530.7,126.5,116.7,45.4,-0.231,0.093666343,0.050063495
CNAA9,2800_28_1,3285_28,3285,28,T90,N,A,2800,28,AA_N,10.005,11365292.35,0.082,15.326464,312.5,105.6,66,1.1,172.7,85.2,55,13,153.2,80,51.2,15.5,146.7,109,76.8,27,212.8,159.6,121.8,31.1,0.002,0.544413479,0.177817108
CNAB10,280_28_1,288_28,288,28,T90,N,A,280,28,AB_N,9.038,5812790.44,0.077,43.13856,316.9,107.9,79.4,11,198.3,159.2,129.4,72.8,361.4,186.6,149.6,70.3,406.5,155.7,126.8,50.3,332.8,131.4,114.2,71.3,-0.11,0.403344984,0.266095894
CNAB11,400_31_1,405_31,405,31,T90,N,A,400,31,AB_N,7.304,5403861.074,0.048,44.36608,277.3,124.4,94.9,16.5,235.8,112.7,70.6,3.8,187.1,110.1,74.9,40.5,225.5,106.1,85.9,43,235,119.2,103.8,54.3,0.032,0.422090723,0.146710404
CNAB12,2800_28_1,3285_28,3285,28,T90,N,A,2800,28,AB_N,6.944,14601346.49,0.036,39.456,348.3,NA,NA,NA,NA,158.9,120.3,39.7,318.9,171.7,146.7,86.5,404.9,156.4,137.1,78.4,371.9,143.1,132.8,72.4,-1.377,0.452317792,0.342849785
CNAB13,280_31_1,311_31,311,31,T90,N,A,280,31,AB_N,12.161,15803530.31,0.291,308.6336,163.2,88.3,56.9,12.3,157.5,125.9,89.5,30.9,246.3,167.3,139.5,70.9,377.7,119,100.2,30.3,249.5,82.9,70.7,9.6,0.045,0.764231976,0.466395095
CNAB19,400_28_1,447_28,447,28,T90,N,A,400,28,AB_N,6.617,22169471.03,0.125,37.87776,461.5,NA,NA,NA,NA,138,100,38.6,276.6,180.7,144.7,70.1,395.5,124.2,105.6,53.1,282.9,187,172.7,101.8,-0.085,0.439809928,0.276608503
CNAB9,400_28,447_28,447,28,T0,N,A,T0,T0,AB_N,9.5,1485473.684,0.281,52.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.122135651,NA
CNAC1,280_31_2,311_31,311,31,T90,N,A,280,31,AC_N,8.864,6043184.946,0.31,146.07488,153.9,96.9,63,8.2,168.1,59.6,32.1,10.2,101.9,69,40.2,8.9,118.1,74.4,44.3,13.4,132.1,90.7,52,11.2,0.936,1.179811153,0.556131229
CNAC12,400_28_2,447_28,447,28,T90,N,A,400,28,AC_N,6.932,4475498.918,0.589,73.47584,169.6,NA,NA,NA,NA,78.8,45.5,15,139.3,101.3,66.2,22.7,190.2,60.3,34.6,14.8,109.7,87.9,54.5,27.2,1.129,1.369044391,0.129286572
CNAC2,280_28_2,288_28,288,28,T90,N,A,280,28,AC_N,11.649,6337917.418,0.275,64.70784,230.3,126.7,91.1,13.9,231.7,78.5,52.2,10.5,141.2,73.2,43.2,15.1,131.5,79.2,45.6,14.5,139.3,125,82.7,22.6,-0.045,1.105753094,0.094934623
CNAC3,400_31_2,405_31,405,31,T90,N,A,400,31,AC_N,8.534,4016248.096,0.404,36.47488,291.3,121.2,86.2,14.7,222.1,79.6,49.8,10.1,139.5,111.3,73.6,14.6,199.5,76.2,45.6,11,132.8,148.8,105.2,37.3,0.538,1.665821071,0.304035381
CNAC5,700_31_2,701_31,701,31,T90,N,A,700,31,AC_N,9.56,11201255.23,0.122,90.48576,537.5,133,94,16.4,243.4,102,69.9,19.9,191.8,114.1,74.8,22.6,211.5,176.9,137,65.8,379.7,221.2,183.6,132.7,-0.009,0.656680212,0.209647969
CNAC6,700_28_2,673_28,673,28,T90,N,A,700,28,AC_N,10.235,2880797.29,0.098,14.55488,541.8,120,83.9,12.4,216.3,81,51.6,13.3,145.9,125.1,81,30.5,236.6,149.2,121.3,56.8,327.3,224,195.2,122.6,-0.237,0.473116079,0.100269208
CNAC8,2800_28_2,3285_28,3285,28,T90,N,A,2800,28,AC_N,10.829,11987810.51,0.087,30.16192,425.4,166.1,127.7,21.1,314.9,81.5,50.7,10,142.2,81.9,51.4,24.3,157.6,172.5,140,78.7,391.2,180.1,154,91.3,-0.513,0.401492764,0.187066501
CNAC9,400_28,447_28,447,28,T0,N,A,T0,T0,AC_N,9.716333333,1358743.01,0.27,77.1584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.950007658,0.089511833
CNAD10,280_28_2,288_28,288,28,T90,N,A,280,28,AD_N,11.882,8140320.364,0.109,61.02528,456.1,105.2,63,4.6,172.8,190.7,162.1,94.5,447.3,209.2,180.4,101.7,491.3,227.9,209.3,130.2,567.4,184.6,166.7,104.8,-0.478,0.468527916,0.053005147
CNAD12,400_28,447_28,447,28,T0,N,A,T0,T0,AD_N,10.35566667,856213.9891,0.117,3.577344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56932635,0.082018976
CNAD3,400_31_2,405_31,405,31,T90,N,A,400,31,AD_N,12.839,3103120.619,0.09,35.24736,154.8,164.4,130.7,25.5,320.6,161,130,59.7,350.7,141.2,90.7,32.4,264.3,83.8,54.8,25,163.6,72,57,25.8,0.314,0.318267399,0.075164294
CNAD5,700_31_2,701_31,701,31,T90,N,A,700,31,AD_N,12.119,1501499.024,0.059,173.6064,287.7,176.3,141.6,31.9,349.8,197.4,170.8,95.1,463.3,181,156.7,99.5,437.2,151.7,132.9,62.5,347.1,128.5,112.1,47.1,-0.109,0.292675637,0.135928012
CNAD6,700_28_2,673_28,673,28,T90,N,A,700,28,AD_N,11.062,1078318.517,0.068,29.46048,418.9,171.5,139.6,38.2,349.3,127,87.8,17.2,232,156.6,121.8,49.4,327.8,144.9,120.3,56.4,321.6,171.3,153.4,94.2,-0.535,0.359251324,0.051111536
CNAD7,2800_31_2,3309_31,3309,31,T90,N,A,2800,31,AD_N,12.793,2913961.124,0.068,35.072,299,164.9,132.1,31.7,328.7,168.8,135.2,58,362,208.7,190.1,111.3,510.1,NA,NA,NA,NA,129.3,117.2,52.5,-0.729,0.38552149,0.091840473
CNAD8,2800_28_2,3285_28,3285,28,T90,N,A,2800,28,AD_N,9.482,809112.0017,0.075,30.51264,464.4,183.6,151.6,46.8,382,145.6,117.6,54.5,317.7,153.8,117.1,38.6,309.5,189.8,157,79.8,426.6,187.2,168,109.2,-1.068,0.368570922,0.149582628
CNAD9,400_28_2,447_28,447,28,T90,N,A,400,28,AD_N,12.847,650718.6965,0.109,11.363328,599.8,NA,NA,NA,NA,205.7,181.4,113.1,500.2,209.6,174.9,82.3,466.8,189,157.8,76,422.8,235.8,216.4,147.6,-0.851,0.369486434,0.042117422
CNAE11,400_28_3,447_28,447,28,T90,N,A,400,28,AE_N,9.245,2453994.808,0.349,60.32384,286.3,NA,NA,NA,NA,138.6,95.8,24.9,259.3,111.4,71.1,15.4,197.9,89.7,52.4,20.3,162.4,146.1,105.6,34.6,-0.174,1.400424754,0.280117813
CNAE2,280_28_3,288_28,288,28,T90,N,A,280,28,AE_N,8.297,4805650.303,0.271,120.9984,311.7,198.8,170.5,40,409.3,232.2,209.1,122.7,564,175.9,133.3,53.3,362.5,97.3,58.4,17.9,173.6,156.4,115.9,39.4,-0.344,1.043531961,0.261546814
CNAE5,700_31_3,701_31,701,31,T90,N,A,700,31,AE_N,9.883,3407245.008,0.093,119.42016,265.3,99.7,70.2,5.3,175.2,139,99.4,23.5,261.9,153.6,111.5,30.7,295.8,196.9,167.1,72.8,436.8,125.1,106.8,33.4,-0.05,0.544042183,0.200636059
CNAE6,700_28_3,673_28,673,28,T90,N,A,700,28,AE_N,9.108,1959414.456,0.336,69.96864,198.4,129.9,97.8,9.4,237.1,131.3,104.7,44.3,280.3,94.6,62.5,19.7,176.8,67.8,36.1,13.7,117.6,109.6,69.3,19.5,-0.042,1.103879179,0.063102467
CNAE7,2800_31_3,3309_31,3309,31,T90,N,A,2800,31,AE_N,7.256,2423262.437,0.017,28.9344,147.5,204.1,176.2,52.8,433.1,135,76,12,223,169.8,159.7,77.5,407,213.8,205.3,119.5,538.6,68.7,57.6,21.2,-0.657,0.316422708,0.110939853
CNAE8,2800_28_3,3285_28,3285,28,T90,N,A,2800,28,AE_N,7.201,4702309.864,0.054,17.536,227.7,206,172.5,48.7,427.2,201.2,183.4,85.2,469.8,206.4,188.1,100.8,495.3,161.3,142.4,63.4,367.1,99.6,88.9,39.2,-1.433,0.629838912,0.161610104
CNAE9,400_28,447_28,447,28,T0,N,A,T0,T0,AE_N,9.664,1705660.182,0.44,16.6592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.333993209,0.069598787
CNAF1,280_31_3,311_31,311,31,T90,N,A,280,31,AF_N,13.161,8017031.122,0.284,264.7936,120.3,98.3,64.2,0.3,162.8,62.3,39.7,8.3,110.3,90.1,63.7,10.4,164.2,95.2,60.5,9.6,165.3,72.4,42.3,5.6,1.286,1.056878591,0.330631771
CNAF10,400_28_3,447_28,447,28,T90,N,A,400,28,AF_N,7.282,4028885.328,0.343,67.68896,160.7,NA,NA,NA,NA,NA,NA,NA,NA,100.1,64.7,17.4,182.2,61.6,35.9,14.8,112.3,94.5,57.5,8.7,0.524,1.007612141,0.160705344
CNAF11,2800_28_3,3285_28,3285,28,T90,N,A,2800,28,AF_N,13.133,527336.413,0.152,19.99104,423.9,148.9,114.3,14,277.2,109.2,81.8,16.7,207.7,132.3,99.2,31.4,262.9,107.2,74.2,10.4,191.8,197.4,164.2,62.3,-0.083,0.749080332,0.221324125
CNAF5,700_31_3,701_31,701,31,T90,N,A,700,31,AF_N,11.216,739174.3692,0.104,34.37056,523.8,121.7,88.8,4.7,215.2,82.2,55.5,9.1,146.8,101.6,67.8,9.3,178.7,120.5,84.6,16.6,221.7,225.1,206.9,91.8,0.224,0.70310108,0.377226586
CNAF6,700_28_3,673_28,673,28,T90,N,A,700,28,AF_N,12.997,6973506.707,0.275,55.41376,392.1,146.1,110.6,14.8,271.5,95.9,68.6,6.1,170.6,62.3,38.9,9.5,110.7,118.4,85.4,30.6,234.4,192.4,155.8,43.9,0.655,0.85940171,0.249904944
CNAF7,2800_31_3,3309_31,3309,31,T90,N,A,2800,31,AF_N,10.895,2003686.819,0.028,25.4272,290,166.7,132.6,9.6,308.9,117.8,88.4,11.4,217.6,172.8,153.5,63.1,389.4,182.2,162.6,70.4,415.2,124.9,115.4,49.7,-0.713,0.255677325,0.119462545
CNAF9,400_28,447_28,447,28,T0,N,A,T0,T0,AF_N,10.11366667,2440460.103,0.358,42.26176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.569155731,0.075926834
CNPA1,400_28_1,447_28,447,28,T90,N,P,400,28,PA_N,9.378,696737.0441,0.116,58.7456,174,NA,NA,NA,NA,195.6,160.7,75.05,431.35,200.75,169.45,84.05,454.25,120.6,82.4,22.4,225.4,98.75,58.4,16.85,0.192,0.392744016,0.357290237
CNPA13,700_28_1,673_28,673,28,T90,N,P,700,28,PA_N,10.623,1419767.807,0.104,58.04416,216.9,179,134.85,18.05,331.9,147.3,104.25,12.9,264.45,134.65,93.6,15.1,243.35,148.7,107.65,27.45,283.8,123,80.85,13.05,-0.073,0.532566012,0.449720915
CNPA2,280_28_1,288_28,288,28,T90,N,P,280,28,PA_N,10.66,6183771.107,0.938,119.2448,52.88333333,118.85,81.55,5,205.4,132.6,96,23.9,252.5,105.85,71.55,17,194.4,79.3,46.55,11.95,137.8,87.8,52.85,18,2.261,0.89310526,0.574093148
CNPA6,2800_28_1,3285_28,3285,28,T90,N,P,2800,28,PA_N,13.452,1727072.234,0.357,140.98944,162.6,178.85,144.3,41.4,364.55,122.65,86.75,18.8,228.2,122.9,84.25,19.75,226.9,107.45,70.65,26.55,204.65,88.9,57.4,16.3,0.097,0.523778827,0.177114818
CNPA9,400_28,447_28,447,28,T0,N,P,T0,T0,PA_N,10.44766667,164821.4912,0.14,9.55712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293315858,0.009172682
CNPB1,400_28_1,447_28,447,28,T90,N,P,400,28,PB_N,11.973,6027783.964,0.877,494.5152,229.5,NA,NA,NA,NA,140.6,100.85,45.65,287.1,103.65,67.9,23,194.55,69.65,50.4,30.6,150.65,98.35,78.9,52.25,1.786,1.01141762,0.161499282
CNPB2,280_28_1,288_28,288,28,T90,N,P,280,28,PB_N,13.278,2724223.634,0.428,299.8656,259.7,130.65,96.35,23.65,250.65,127.15,98.15,59.15,284.45,126.05,100.05,60.1,286.2,140.1,110.35,67.75,318.2,114.1,89.95,55.65,1.952,0.518472426,0.619031134
CNPB20,280_31_1,311_31,311,31,T90,N,P,280,31,PB_N,2.963,100247.5248,0.148,142.0416,167.55,NA,NA,NA,NA,201.35,166.25,69.55,437.15,120.85,81.5,38.1,240.45,86.75,69.1,29.35,185.2,75.25,65.4,26.9,0.418,1.219077669,0.283538576
CNPB3,400_31_1,405_31,405,31,T90,N,P,400,31,PB_N,12.758,51209.69849,0.039,31.91552,223.6,139.2,111.2,49.8,300.2,145.75,113.25,51.95,310.95,204.05,174.15,105.2,483.4,178.65,153.7,95.05,427.4,106.8,87.4,29.4,0.008,0.233860145,NA
CNPB6,700_28_1,673_28,673,28,T90,N,P,700,28,PB_N,11.874,3951826.17,0.442,162.208,242.3,153.6,126.6,64,344.2,133.55,112.55,68.15,314.25,125.2,99.45,66.6,291.25,166,134.95,90.65,391.6,112.05,84.85,45.4,0.834,0.49858375,0.294088286
CNPB7,2800_31_1,3309_31,3309,31,T90,N,P,2800,31,PB_N,11.55,615739.8055,0.292,25.07648,262.7,139.7,112.15,47.55,299.4,180.05,141.2,70.05,391.3,205.5,167.15,95.85,468.5,198.65,162.9,88.95,450.5,132.5,97.95,32.25,-0.993,0.331385947,0.041794518
CNPB8,2800_28_1,3285_28,3285,28,T90,N,P,2800,28,PB_N,10.855,2042992.261,0.737,153.44,338,132.35,104.3,58.8,295.45,111.45,91.95,69.55,272.95,112.05,86.85,59.5,258.4,111.55,92.45,62.4,266.4,145.3,120.75,71.95,1.505,0.788014694,0.269548423
CNPB9,400_28,447_28,447,28,T0,N,P,T0,T0,PB_N,11.17033333,2453373.519,0.47,6.31296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.450948388,0.046290774
CNPC10,400_28,447_28,447,28,T0,N,P,T0,T0,PC_N,10.55266667,3215869.606,0.32,9.6448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.120939875,0.054434134
CNPC6,700_28_2,673_28,673,28,T90,N,P,700,28,PC_N,9.106,28699.02628,0.078,15.08096,531.35,154.4,113.85,29.85,298.1,120.05,86.4,38.6,245.05,114.35,80.05,29.55,223.95,145.75,107.3,35.1,288.15,218,196.1,117.25,-0.78,0.370762133,0.007215866
CNPC8,2800_28_2,3285_28,3285,28,T90,N,P,2800,28,PC_N,8.709,574402.9394,0.048,11.451008,265,145.25,104.9,25.55,275.7,114.3,82.4,30.25,226.95,120.1,83.3,28.75,232.15,122,89.1,33.2,244.3,131.75,100.85,32.4,-1.068,0.212983282,0.017701608
CNPD1,280_31_2,311_31,311,31,T90,N,P,280,31,PD_N,11.375,87826.7495,0.401,72.7744,526.2,98.95,66.6,14.1,179.65,86.7,55.6,16.5,158.8,100.15,65.8,19.6,185.55,147.9,107,31.4,286.3,222,195,109.2,0.855,0.920766196,0.031026618
CNPD2,280_28_2,288_28,288,28,T90,N,P,280,28,PD_N,9.539,3054305.284,0.598,178.8672,133.75,103.8,68,7.45,179.25,93.5,63.45,21.3,178.25,93.65,64.15,25.4,183.2,53.85,34.75,26.95,115.55,66.95,41.9,24.9,2.606,1.262855208,0.08169322
CNPD2,280_28_2,288_28,288,28,T90,N,P,280,28,PD_N,9.539,3054305.284,0.598,178.8672,133.75,103.8,68,7.45,179.25,93.5,63.45,21.3,178.25,93.65,64.15,25.4,183.2,53.85,34.75,26.95,115.55,66.95,41.9,24.9,2.606,0.12086744,0.08169322
