coral,tank,treat,pco2,temp,T0_T90,reef,species,fpco2,ftemp,colony,SA,den,pro,chla,sum_bw5,red_bw1,green_bw1,blue_bw1,sum_bw1,red_bw2,green_bw2,blue_bw2,sum_bw2,red_bw3,green_bw3,blue_bw3,sum_bw3,red_bw4,green_bw4,blue_bw4,sum_bw4,red_bw5,green_bw5,blue_bw5,rate,carb,lipid
CFPA9,700_28_2,673_28,673,28,T90,F,P,700,28,PA_F,14.665,669947.2679,1.009,182.3744,229.8,155.05,121.9,53.2,330.15,111.95,83.75,40.05,235.75,99.95,78.95,51.55,230.45,90.2,67.35,49.05,206.6,113.35,79.7,36.75,0.713,1.040960616,0.392843387
CFPB1,400_28_1,447_28,447,28,T90,F,P,400,28,PB_F,7.942,3590027.701,0.291,163.0848,169.1,NA,NA,NA,NA,137.4,104.8,46.95,289.15,123.45,92.5,41.35,257.3,74.3,55.75,30.55,160.6,81.3,57.05,30.75,1.466,1.296580569,0.193019577
CFPB12,2800_28_1,3285_28,3285,28,T90,F,P,2800,28,PB_F,9.46,1554897.815,0.401,57.51808,285.65,93.95,62.8,7.15,163.9,84.1,61.1,26.05,171.25,108.2,81,30.35,219.55,91.3,65.85,26.7,183.85,127.15,100.9,57.6,1.281,0.972443512,0.058376966
CFPB2,280_28_1,288_28,288,28,T90,F,P,280,28,PB_F,10.94,2872672.984,0.788,210.432,235.65,124.3,97.65,23.6,245.55,95.5,73.45,34.4,203.35,97.85,70.65,32.9,201.4,76.95,51,29.55,157.5,103.75,78.1,53.8,1.622,0.844716546,0.275427958
CFPB3,400_31_1,405_31,405,31,T90,F,P,400,31,PB_F,12.899,0,0.323,6.996864,543.4,109.45,82.75,24.75,216.95,155.8,128.75,64.1,348.65,221.15,198,126.3,545.45,216.05,191.5,123.35,530.9,221.65,197.65,124.1,-0.504,0.356761573,0.113718165
CFPB6,700_28_1,673_28,673,28,T90,F,P,700,28,PB_F,11.396,2294685.425,1.069,252.5184,175.95,131.25,99.2,41.3,271.75,119.95,89.8,38.25,248,89.75,68.7,41.6,200.05,104.7,75.1,40.9,220.7,85.5,59.2,31.25,2.018,1.243006477,0.629894565
CFPB7,2800_31_1,3309_31,3309,31,T90,F,P,2800,31,PB_F,8.536,113870.6654,0.124,19.64032,481.1,144.5,116.5,37.15,298.15,153.3,129.85,56.5,339.65,207.7,186.6,113.65,507.95,198,179.95,121.8,499.75,190.3,174.3,116.5,-0.375,0.359566223,0.072569223
CFPB8,400_28,447_28,447,28,T0,F,P,T0,T0,PB_F,7.280333333,1315324.39,0.137,49.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.793801603,0.13484791
CFPB9,280_31_1,311_31,311,31,T90,F,P,280,31,PB_F,9.076,43190.83297,0.138,157.824,280.8,116.85,86.55,20.35,223.75,133.6,109.2,45.9,288.7,176.05,157.25,88.3,421.6,180.45,170.2,113.05,463.7,121.8,109.75,49.25,0.187,0.642674764,0.01489788
CFPC10,400_28_2,447_28,447,28,T90,F,P,400,28,PC_F,10.171,24317.50401,0.066,39.10528,351,NA,NA,NA,NA,186.2,152.75,70.05,409,220.65,201,131.95,553.6,204.3,189,126.45,519.75,152.75,135.05,63.2,-0.783,0.240597085,0.194421476
